WCSAXES,CRPIX1,CRPIX2,PC1_1,PC1_2,PC2_1,PC2_2,CDELT1,CDELT2,CUNIT1,CUNIT2,CTYPE1,CTYPE2,CRVAL1,CRVAL2,LONPOLE,LATPOLE,MJDREF,RADESYS,A_ORDER,A_0_2,A_0_3,A_0_4,A_1_1,A_1_2,A_1_3,A_2_0,A_2_1,A_2_2,A_3_0,A_3_1,A_4_0,B_ORDER,B_0_2,B_0_3,B_0_4,B_1_1,B_1_2,B_1_3,B_2_0,B_2_1,B_2_2,B_3_0,B_3_1,B_4_0,AP_ORDER,BP_ORDER,PA_X,PA_Y,THETA,SEP,RA_TEL,DEC_TEL,ROT,CHIP,PSCALEX,PSCALEY
2,2045.0001245147,2044.9999213938,-9.3445065488206e-05,0.00010113635774324,-0.00010159473636471,-9.402151869819e-05,1.0,1.0,deg,deg,RA---TAN-SIP,DEC--TAN-SIP,359.55511959553,-0.021204662683986,180.0,-0.021204662683986,0.0,ICRS,4,-2.188777004463832e-20,3.2828710368007487e-19,-7.83821408909935e-14,6.481452171305652e-20,-5.38673561098826e-19,1.6247632155772065e-13,-6.95890827584266e-20,-3.0025019937458156e-19,-1.2738770301401226e-13,1.043902798014371e-18,1.6247274474882643e-13,-2.4920906104759345e-13,4,7.743902819224717e-20,-1.1615650774486579e-18,2.7732088193775325e-13,-5.605977954173555e-20,1.7336545052846704e-19,-1.40525643127274e-13,2.3712552863068787e-20,4.420677675252171e-19,1.4086193070348726e-13,-3.556990340962522e-19,-1.405296735040209e-13,8.491678040702323e-14,4,4,-47.39269252773525,-47.087898258198116,267.27110733261435,0.44538543455585444,0,0,0,1,0.49692351579049465,-0.4971208811879057
2,2045.0006389858,2044.9992040766,-9.4474054972157e-05,0.00010117871696119,-0.0001006581785584,-9.3959825651628e-05,1.0,1.0,deg,deg,RA---TAN-SIP,DEC--TAN-SIP,359.98247693945,0.44351528278339,180.0,0.44351528278339,0.0,ICRS,4,2.508663739280733e-20,-3.7625617409127257e-19,8.983794516304679e-14,6.032412353372427e-20,-7.286171370261412e-19,1.512232496619901e-13,6.397341248791807e-20,-9.23157304284726e-19,1.240345364669764e-13,-9.597437805519383e-19,1.5122616869254542e-13,2.2909843456269347e-13,4,7.226975292911922e-20,-1.0839014723644078e-18,2.5880890618837586e-13,5.3479294224864144e-20,-8.961229846338277e-19,1.3406807315051543e-13,2.433818658868018e-20,-6.565501489071497e-19,1.3454527602630952e-13,-3.651325020677238e-19,1.3406448059436962e-13,8.715741205479879e-14,4,4,-46.815208185079015,-47.118615183093794,357.737513330275,0.44386128842158,0,0,0,2,0.49697496015147113,-0.4970814194546645
2,2045.0006833861,2044.9991830616,9.3482064724228e-05,-0.00010208967001313,0.0001015855847256,9.303271556222e-05,1.0,1.0,deg,deg,RA---TAN-SIP,DEC--TAN-SIP,0.018075739069729,-0.44486405725243,180.0,-0.44486405725243,0.0,ICRS,4,1.932954234842632e-20,-2.8990455731028963e-19,6.922081050852675e-14,3.852359106950538e-20,-4.818229458079162e-19,9.657293355774145e-14,6.663616021794528e-20,-7.183920257480917e-19,1.1972303211603228e-13,-9.996660019378112e-19,9.657648293010736e-14,2.386342599163979e-13,4,4.4123478747001134e-20,-6.617441248466213e-19,1.5801281594451753e-13,4.81585936718662e-20,-7.021335898910222e-19,1.2072795398972233e-13,1.4777973003947596e-20,-5.555057592431006e-19,8.203320043243301e-14,-2.2171067670176573e-19,1.207257553164686e-13,5.292132257018209e-14,4,4,-47.378819277626796,-47.657578559188515,177.67330051640576,0.44523111305638335,0,0,0,3,-0.4969894523437521,0.49723529045310977
2,2045.0001135049,2044.9999631731,9.2861861645463e-05,-0.00010169754849171,0.00010216612465801,9.3418564347079e-05,1.0,1.0,deg,deg,RA---TAN-SIP,DEC--TAN-SIP,0.44920454378331,0.017505015072456,180.0,0.017505015072456,0.0,ICRS,4,-1.9847523531456115e-20,2.9769304008359103e-19,-7.107584038127024e-14,4.2923912421574783e-20,-3.2996808792784295e-19,1.0760078432985508e-13,-6.326348943375432e-20,-1.1295810991617332e-19,-1.1573932165180505e-13,9.489834215790885e-19,1.075975289159028e-13,-2.2655616763981177e-13,4,5.227206162022997e-20,-7.84057413199225e-19,1.871942440823094e-13,-4.8598068885677085e-20,2.2460642044163344e-19,-1.2182240872380558e-13,8.03877051334668e-21,4.457885761728672e-19,8.398618520739225e-14,-1.20576894023442e-19,-1.2182572633677704e-13,2.878693029203898e-14,4,4,-47.73135730012271,-47.42966343157022,87.76835269497084,0.4495454685681039,0,0,0,4,-0.4970248496721538,0.49713144857195857
