full_name,field,truncated_field,band,chip,coadd_path,ecsv_path,discoverydate,EXPTIMEE,DITHTYP,DITHRAD,DITH_REP,NINT,ROTOFF,RA,DEC,psfS_CM,aperS_CM,autoS_CM,Radius,SNR,Elongation,Distance,Separation,Survey_Crsmtch,Survey Crsmtch,aperMag,autoMag,aperMag_Err,psfMag_Err,autoME_CM,apMag,psfMag,Mag_Err_Crsmtch,Mag_Err,apMag2,psfME_CM,Mag,apMag_Err,aperME_CM,apMag2_Err,autoMag_Err,field_date,days_since_discovery,role,objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified,status
AT2025yfr,field6567-2025-10-03,field6567,J,C3,/mnt/photometry/AT2025yfr/field6567-2025-10-03/J/stack/coadd.Open-J.03043874-03043910.C3.fits,/mnt/photometry/AT2025yfr/field6567-2025-10-03/J/stack/GRB_J_C3_Data_VHS_03043910.ecsv,2025-09-15,8.58,Circle,60.0,1,10,48.0,348.56244,-37.24303,0.0,0.0,0.0,1.43,33.39,1.225,0.55605,-1.0,,,17.924,17.503,0.04,0.034,99.0,,17.789,,,,99.0,,,99.0,,0.049,2025-10-03,18,sci,189009,AT,2025yfr,348.562376,-37.243174,,,,59,GOTO,59.0,GOTO,19.47,120.0,L,"D. O'Neill, K. Ackley, M. Dyer, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, G. Ramsay, K. Noysena, R. Kotak, R. Breton, J. Casares, L. Nuttall, B. Godson, T. Killestein, A. Kumar, M. Pursiainen, on behalf of GOTO collaboration",9/21/25 22:14,GOTO25hli,2025TNSTR3791....1O,,9/21/25 22:14,9/21/25 22:14,
AT2025yds,field15759-2025-08-18,field15759,J,C3,/mnt/photometry/AT2025yds/field15759-2025-08-18/J/stack/coadd.Open-J.02865809-02865845.C3.fits,/mnt/photometry/AT2025yds/field15759-2025-08-18/J/stack/GRB_J_C3_Data_VHS_02865845.ecsv,2025-09-05,8.58,Circle,60.0,1,10,48.0,20.28572,-0.76657,3.0,3.0,3.0,0.87,9.53,1.3,0.65539,-1.0,,,19.686,19.64,0.125,0.121,99.0,,19.793,,,,99.0,,,99.0,,0.214,2025-08-18,-18,sci,188957,AT,2025yds,20.285542,-0.766572,,,,154,WFST,154.0,WFST,22.15,153.0,r,"Zelin Xu, Dezheng Meng, Ji-an Jiang, Weiyu Wu, Zhengyan Liu, Junhan Zhao, Ziqing Jia (USTC) on behalf of the WFST collaboration",9/21/25 8:29,WFST250905hljo,2025TNSTR3795....1X,,9/21/25 8:29,9/21/25 8:29,
AT2025xzm,field6574-2025-10-03,field6574,J,C2,/mnt/photometry/AT2025xzm/field6574-2025-10-03/J/stack/coadd.Open-J.03044154-03044190.C2.fits,/mnt/photometry/AT2025xzm/field6574-2025-10-03/J/stack/GRB_J_C2_Data_2MASS_03044190.ecsv,2025-09-19,8.58,Circle,60.0,1,10,48.0,359.62612,-36.55121,3.0,3.0,3.0,1.52,35.18,1.636,0.65718,-1.0,,,17.833,17.153,0.039,0.086,99.0,,18.335,,,,99.0,,,99.0,,0.051,2025-10-03,14,sci,188847,AT,2025xzm,359.6263443,-36.55118143,,,,18,ATLAS,18.0,ATLAS,19.309,71.0,cyan,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), M. R. Alarcón, J. Licandro, P. Nichita (IAC), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill, P. J. Broda (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa, J. Tweddle (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",9/19/25 17:38,ATLAS25lsg,2025TNSTR3766....1T,,9/19/25 17:39,9/19/25 17:39,
AT2025wiy,field9597-2025-09-10,field9597,J,C2,/mnt/photometry/AT2025wiy/field9597-2025-09-10/J/stack/coadd.Open-J.02970610-02970646.C2.fits,/mnt/photometry/AT2025wiy/field9597-2025-09-10/J/stack/GRB_J_C2_Data_2MASS_02970646.ecsv,2025-08-27,8.58,Circle,60.0,1,10,48.0,3.05238,-22.62476,2.0,1.0,2.0,1.76,53.98,1.962,0.66709,0.37464,,,17.234,16.445,0.027,0.078,0.628,,17.625,,,,-0.552,,,-0.161,,0.033,2025-09-10,14,sci,187680,AT,2025wiy,3.052544929,-22.62466074,,,,48,ZTF,48.0,ZTF,19.9776,111.0,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",8/30/25 10:19,"ZTF25abnganm, PS25hnr",2025TNSTR3460....1S,,8/30/25 10:19,9/17/25 21:55,
AT2025xph,field13836-2025-08-31,field13836,J,C2,/mnt/photometry/AT2025xph/field13836-2025-08-31/J/stack/coadd.Open-J.02924306-02924342.C2.fits,/mnt/photometry/AT2025xph/field13836-2025-08-31/J/stack/GRB_J_C2_Data_VHS_02924342.ecsv,2025-09-14,8.58,Circle,60.0,1,10,48.0,345.49263,-8.03754,1.0,1.0,2.0,1.19,30.65,1.172,0.10587,0.14238,,,18.088,17.747,0.041,0.036,0.372,,18.132,,,,-0.012,,,0.032,,0.054,2025-08-31,-14,sci,188580,AT,2025xph,345.4926053,-8.03754348,,,,83,YSE,4.0,Pan-STARRS,19.95,56.0,g,"D. O. Jones (UC Santa Cruz), K. D. French (Carnegie, Illinois), A. Agnello, Z. Ansari, N. Arendse, C. Gall, C. Grillo, S. H. Bruun, C. Hede, J. Hjorth, L. Izzo, H. Korhonen, S. Raimundo, D. Kodi Ramanah, A. Sarangi, R. Wojtak, H. Pfister (DARK, U Copenhagen), K. Auchettl (DARK, UC Santa Cruz, U Melbourne), K. C. Chambers, M. E. Huber, E. A. Magnier, T. J. L. de Boer, J. R. Fairlamb, C. C. Lin, R. J. Wainscoat, T. Lowe, G. Paek, A. S. B. Schultz, P. Minguez (IfA, Hawaii), A. Engel, A. Gagliano, G. Narayan, M. Soraisam (Illinois), Q. Wang (JHU), A. Rest (JHU, STScI), S. J. Smartt, K. W. Smith (Oxford / QUB), C. R. Angus (QUB), K. Alexander, P. Blanchard, L. DeMarchi, A. Hajela, W. Jacobson-Galan, R. Margutti, D. Matthews, C. Stauffer, M. Stroh (Northwestern), M. Drout (U Toronto), D. A. Coulter, G. Dimitriadis, R. J. Foley, T. Hung, C. D. Kilpatrick, C. Rojas-Bravo, M. R. Siebert (UC Santa Cruz), E. Ramirez-Ruiz (UC Santa Cruz, DARK)",9/15/25 9:16,PS25hnf,2025TNSTR3711....1J,,9/15/25 9:16,9/15/25 9:16,
AT2025xmk,field1703-2025-08-25,field1703,J,C3,/mnt/photometry/AT2025xmk/field1703-2025-08-25/J/stack/coadd.Open-J.02890337-02890373.C3.fits,/mnt/photometry/AT2025xmk/field1703-2025-08-25/J/stack/GRB_J_C3_Data_VHS_02890373.ecsv,2025-09-13,8.58,Circle,60.0,1,10,48.0,12.02402,-63.18071,2.0,2.0,2.0,2.07,95.86,1.031,0.52697,0.16433,,,16.314,15.75,0.018,0.015,0.749,,16.191,,,,0.309,,,0.185,,0.016,2025-08-25,-19,sci,188505,AT,2025xmk,12.02393333,-63.18057333,,,,18,ATLAS,18.0,ATLAS,18.367,72.0,orange,"J. Tonry, L. Denneau, H. Weiland, R. Siverd (IfA, University of Hawaii), N. Erasmus, W. Koorts (South African Astronomical Observatory), A. Jordan, V. Suc (UAI, Obstech), M. R. Alarcón, J. Licandro, P. Nichita (IAC), S. J. Smartt, K. W. Smith (Oxford/QUB), D. R. Young, M. Nicholl, M. Fulton, M. McCollum, T. Moore, J. Weston, X. Sheng, C. R. Angus, A. Wilson, A. Aamer, D. Magill (QUB), P. Ramsden (Birmingham/QUB), L. Shingles (GSI/QUB), S. Srivastav, J. H. Gillanders, H. Stevance, A. J. Cooper, F. Stoppa, J. Tweddle (Oxford), L. Rhodes (TSI/McGill), A. Rest (STScI), T.-W. Chen (NCU), C. Stubbs (Harvard), J. S. Sommer (LMU), B. P. Schmidt (ANU)",9/14/25 19:25,"ATLAS25liz, GOTO25hpg",2025TNSTR3686....1T,,9/14/25 19:25,9/14/25 19:25,
AT2025xhv,field15756-2025-08-18,field15756,J,C1,/mnt/photometry/AT2025xhv/field15756-2025-08-18/J/stack/coadd.Open-J.02865689-02865725.C1.fits,/mnt/photometry/AT2025xhv/field15756-2025-08-18/J/stack/GRB_J_C1_Data_VHS_02865725.ecsv,2025-08-31,8.58,Circle,60.0,1,10,48.0,17.13526,-0.16048,2.0,1.0,2.0,1.15,21.16,1.11,1.069,0.16151,,,18.883,18.32,0.061,0.067,0.617,,19.168,,,,-0.231,,,0.054,,0.084,2025-08-18,-13,sci,188376,AT,2025xhv,17.135,-0.160336,,,,154,WFST,154.0,WFST,22.14,152.0,g,"Zelin Xu, Dezheng Meng, Ji-an Jiang, Weiyu Wu, Zhengyan Liu, Junhan Zhao, Ziqing Jia (USTC) on behalf of the WFST collaboration",9/13/25 9:00,WFST250831alcv,2025TNSTR3679....1X,,9/13/25 9:00,9/13/25 9:00,
SN2025vzq,field13840-2025-08-31,field13840,J,C3,/mnt/photometry/SN2025vzq/field13840-2025-08-31/J/stack/coadd.Open-J.02924466-02924502.C3.fits,/mnt/photometry/SN2025vzq/field13840-2025-08-31/J/stack/GRB_J_C3_Data_VHS_02924502.ecsv,2025-08-28,8.58,Circle,60.0,1,10,48.0,349.76991,-8.4776,0.0,0.0,0.0,1.43,104.75,1.042,0.33032,-1.0,,,16.641,16.099,0.015,0.081,99.0,,16.622,,,,99.0,,,99.0,,0.011,2025-08-31,3,sci,187431,SN,2025vzq,349.7699989,-8.477634163,0.007452,5.0,SN Ic,59,GOTO,59.0,GOTO,19.22,120.0,L,"D. O'Neill, K. Ackley, M. Dyer, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, G. Ramsay, K. Noysena, R. Kotak, R. Breton, J. Casares, L. Nuttall, B. Godson, T. Killestein, A. Kumar, M. Pursiainen, on behalf of GOTO collaboration",8/28/25 13:31,"GOTO25glk, ATLAS25kqi, ZTF25abmsmeg, , PS25hld",2025TNSTR3412....1O,2025TNSCR3449....1W,8/28/25 13:31,9/11/25 20:42,
SN2025ukr,field13502-2025-09-02,field13502,J,C3,/mnt/photometry/SN2025ukr/field13502-2025-09-02/J/stack/coadd.Open-J.02936141-02936177.C3.fits,/mnt/photometry/SN2025ukr/field13502-2025-09-02/J/stack/GRB_J_C3_Data_VHS_02936177.ecsv,2025-08-16,8.58,Circle,60.0,1,10,48.0,320.73546,-10.01317,0.0,0.0,0.0,1.16,8.23,2.664,0.58016,-1.0,,,19.415,19.071,0.172,0.152,99.0,,19.414,,,,99.0,,,99.0,,0.206,2025-09-02,17,sci,186364,SN,2025ukr,320.7354535,-10.0133307,0.22,18.0,SLSN-I,48,ZTF,48.0,ZTF,19.7301,110.0,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",8/18/25 7:35,"ZTF25abixhdc, GOTO25gdo, ATLAS25kul, ",2025TNSTR3262....1S,2025TNSCR3512....1C,8/18/25 7:35,9/1/25 23:48,
AT2025woh,field16078-2025-08-17,field16078,J,C3,/mnt/photometry/AT2025woh/field16078-2025-08-17/J/stack/coadd.Open-J.02859206-02859242.C3.fits,/mnt/photometry/AT2025woh/field16078-2025-08-17/J/stack/GRB_J_C3_Data_VHS_02859242.ecsv,2025-09-01,8.58,Circle,60.0,1,10,48.0,23.82771,0.74035,1.0,2.0,2.0,2.79,65.61,1.344,0.92499,0.45249,,,17.479,16.026,0.025,0.04,1.554,,17.532,,,,0.048,,,0.101,,0.028,2025-08-17,-15,sci,187820,AT,2025woh,23.82753372,0.740157728,,,,139,LAST,139.0,LAST,19.62,1.0,Clear,"E. O. Ofek (WIS), R. Konno (WIS), E. A. Zimmerman (WIS), A. Horowicz (WIS), S. Garrappa (WIS), S. Ben-Ami (WIS), D. Polishook (WIS), O. Yaron (WIS), P. Chen (WIS), A. Krassilchtchikov (WIS), Y. M. Shani (WIS), E. Segre (WIS), A. Gal-Yam (WIS), S. Spitzer (WIS), and K. Rybicki (WIS) on behalf of the LAST Collaboration",9/1/25 10:17,,2025TNSTR3499....1O,,9/1/25 10:18,9/1/25 10:18,
